Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,RPE
2023-07-03 20:31:05,"Heavy Pull ",48m,"Bent Over Row (Barbell)",1,105.0,5.0,0,0.0,
2023-07-03 20:31:05,"Heavy Pull ",48m,"Bent Over Row (Barbell)",2,105.0,5.0,0,0.0,
2023-07-03 20:31:05,"Heavy Pull ",48m,"Bent Over Row (Barbell)",3,105.0,5.0,0,0.0,
2023-07-03 20:31:05,"Heavy Pull ",48m,"Pull Up (Assisted)",1,0.0,4.0,0,0.0,
2023-07-03 20:31:05,"Heavy Pull ",48m,"Pull Up (Assisted)",2,0.0,4.0,0,0.0,
2023-07-03 20:31:05,"Heavy Pull ",48m,"Pull Up (Assisted)",3,0.0,4.0,0,0.0,
2023-07-03 20:31:05,"Heavy Pull ",48m,"Seated Row (Cable)",1,99.0,6.0,0,0.0,
2023-07-03 20:31:05,"Heavy Pull ",48m,"Seated Row (Cable)",2,110.0,6.0,0,0.0,
2023-07-03 20:31:05,"Heavy Pull ",48m,"Seated Row (Cable)",3,110.0,6.0,0,0.0,
2023-07-03 20:31:05,"Heavy Pull ",48m,"Seated Row (Cable)",4,110.0,6.0,0,0.0,
2023-07-03 20:31:05,"Heavy Pull ",48m,"Iso-Lateral Row (Machine)",1,110.0,6.0,0,0.0,
2023-07-03 20:31:05,"Heavy Pull ",48m,"Iso-Lateral Row (Machine)",2,110.0,6.0,0,0.0,
2023-07-03 20:31:05,"Heavy Pull ",48m,"Hammer Curl (Dumbbell)",1,22.5,8.0,0,0.0,
2023-07-03 20:31:05,"Heavy Pull ",48m,"Hammer Curl (Dumbbell)",2,22.5,8.0,0,0.0,
2023-07-03 20:31:05,"Heavy Pull ",48m,"Hammer Curl (Dumbbell)",3,22.5,8.0,0,0.0,
2023-07-03 20:31:05,"Heavy Pull ",48m,"Incline Curl (Dumbbell)",1,15.0,8.0,0,0.0,
2023-07-03 20:31:05,"Heavy Pull ",48m,"Incline Curl (Dumbbell)",2,15.0,8.0,0,0.0,
2023-07-03 20:31:05,"Heavy Pull ",48m,"Incline Curl (Dumbbell)",3,15.0,8.0,0,0.0,
2023-07-04 16:08:02,"Legs",1h 16m,"Squat (Barbell)",1,165.0,5.0,0,0.0,
2023-07-04 16:08:02,"Legs",1h 16m,"Squat (Barbell)",2,165.0,5.0,0,0.0,
2023-07-04 16:08:02,"Legs",1h 16m,"Squat (Barbell)",3,165.0,5.0,0,0.0,
2023-07-04 16:08:02,"Legs",1h 16m,"Romanian Deadlift (Barbell)",1,95.0,8.0,0,0.0,
2023-07-04 16:08:02,"Legs",1h 16m,"Romanian Deadlift (Barbell)",2,95.0,8.0,0,0.0,
2023-07-04 16:08:02,"Legs",1h 16m,"Romanian Deadlift (Barbell)",3,95.0,8.0,0,0.0,
2023-07-04 16:08:02,"Legs",1h 16m,"Bulgarian Split Squat",1,15.0,8.0,0,0.0,
2023-07-04 16:08:02,"Legs",1h 16m,"Bulgarian Split Squat",2,15.0,8.0,0,0.0,
2023-07-04 16:08:02,"Legs",1h 16m,"Bulgarian Split Squat",3,15.0,8.0,0,0.0,
2023-07-04 16:08:02,"Legs",1h 16m,"Back Extension",1,25.0,10.0,0,0.0,
2023-07-04 16:08:02,"Legs",1h 16m,"Back Extension",2,25.0,10.0,0,0.0,
2023-07-04 16:08:02,"Legs",1h 16m,"Back Extension",3,25.0,10.0,0,0.0,
2023-07-04 16:08:02,"Legs",1h 16m,"Lying Leg Curl (Machine)",1,70.0,10.0,0,0.0,
2023-07-04 16:08:02,"Legs",1h 16m,"Lying Leg Curl (Machine)",2,70.0,10.0,0,0.0,
2023-07-04 16:08:02,"Legs",1h 16m,"Lying Leg Curl (Machine)",3,70.0,10.0,0,0.0,
2023-07-04 16:08:02,"Legs",1h 16m,"Leg Extension (Machine)",1,70.0,10.0,0,0.0,
2023-07-04 16:08:02,"Legs",1h 16m,"Leg Extension (Machine)",2,70.0,10.0,0,0.0,
2023-07-04 16:08:02,"Legs",1h 16m,"Leg Extension (Machine)",3,70.0,10.0,0,0.0,
2023-07-07 19:31:56,"Volume Upper Workout At RR",1h 49m,"Bench Press (Barbell)",1,180.0,5.0,0,0.0,
2023-07-07 19:31:56,"Volume Upper Workout At RR",1h 49m,"Bench Press (Barbell)",2,180.0,5.0,0,0.0,
2023-07-07 19:31:56,"Volume Upper Workout At RR",1h 49m,"Bench Press (Barbell)",3,180.0,5.0,0,0.0,
2023-07-07 19:31:56,"Volume Upper Workout At RR",1h 49m,"Chest Dip",1,12.5,8.0,0,0.0,
2023-07-07 19:31:56,"Volume Upper Workout At RR",1h 49m,"Chest Dip",2,12.5,8.0,0,0.0,
2023-07-07 19:31:56,"Volume Upper Workout At RR",1h 49m,"Chest Dip",3,12.5,8.0,0,0.0,
2023-07-07 19:31:56,"Volume Upper Workout At RR",1h 49m,"Bent Over Row (Barbell)",1,95.0,10.0,0,0.0,
2023-07-07 19:31:56,"Volume Upper Workout At RR",1h 49m,"Bent Over Row (Barbell)",2,95.0,10.0,0,0.0,
